text,topic,summary
"A long time ago there were a King and Queen who said every day, 'Ah, if only we had a child!' but they never had one. But it happened that once when the Queen was bathing, a frog crept out of the water on to the land, and said to her, 'Your wish shall be fulfilled; before a year has gone by, you shall have a daughter.'",briar rose_segment_0.txt," A long time ago there were a King and Queen who said every day, 'Ah, if only we had a child!' But they never had one . Once when the Queen was bathing, a frog crept out of the water on to"
"

	Early in the morning came the woman, and took the children out of their beds. Their bit of bread was given to them, but it was still smaller than the time before. On the way into the forest Hansel crumbled his in his pocket, and often stood still and threw a morsel on the ground. 'Hansel, why dost thou stop and look round?' said the father, 'go on.' 'I am looking back at my little pigeon which is sitting on the roof, and wants to say good-bye to me,' answered Hansel. 'Simpleton!' said the woman, 'that is not thy little pigeon, that is the morning sun that is shining on the chimney.' Hansel, however, little by little, threw all the crumbs on the path.",hansel and gretel_segment_7.txt," Hansel, however, little by little, threw all the crumbs on the path . Hansel was looking back at his pigeon which is sitting on the roof, and wants to say good-bye to me ."
"

	9.1                ",fundevogel bird foundling_segment_6.txt, 9.9.1    9.1 . 9.2.1. 9.3.5.2 .   10.3 . 10.4.5 . 11.4 . 1.2  
"

	As time went on, the Queen had a pretty little boy, and it happened that the King was out hunting; so the old witch took the form of the chamber-maid, went into the room where the Queen lay, and said to her, 'Come, the bath is ready; it will do you good, and give you fresh strength; make haste before it gets cold.'",little brother and little sister_segment_18.txt," The Queen had a pretty little boy, and the King was out hunting . The old witch took the form of the chamber-maid, went into the room where the Queen lay, and said to her, 'Come, the bath is"
"

	'How fares my child, how fares my roe? This time I come, then never more.'

	Then the King could not restrain himself; he sprang towards her, and said, 'You can be none other than my dear wife.' She answered, 'Yes, I am your dear wife,' and at the same moment she received life again, and by God's grace became fresh, rosy, and full of health.",little brother and little sister_segment_26.txt," The King could not restrain himself; he sprang towards her, and said, 'You can be none other than my dear wife' She answered, 'Yes, I am your dear wife,' and at the same moment she received life again"
"

	When they were once more at home, Frederick said, 'And now, Catherine, you, too, must be industrious and work.' 'Yes, Frederick, I will soon do that, I will go into the field and cut corn.' When Catherine got into the field, she said to herself, 'Shall I eat before I cut, or shall I sleep before I cut? Oh, I will eat first.' Then Catherine ate and eating made her sleepy, and she began to cut, and half in a dream cut all her clothes to pieces, her apron, her gown, and her shift. When Catherine awoke again after a long sleep she was standing there half-naked, and said to herself, 'Is it I, or is it not I? Alas, it is not I.' In the meantime night came, and Catherine ran into the village, knocked at her husband's window, and cried, 'Frederick.'",frederick and catherine_segment_4.txt," Catherine ran into the village, knocked at her husband's window, and cried, 'Frederick' Half in a dream she cut all her clothes to pieces, her apron, her gown, and her shift ."
"

	Betimes next morning the forester got up and went out hunting, and when he was gone the children were still in bed. Then Lina said to Fundevogel, 'If thou wilt never leave me, I too will never leave thee.' Fundevogel said, 'Neither now, nor ever will I leave thee.' Then said Lina, 'Then I will tell thee. Last night, old Sanna carried so many buckets of water into the house that I asked her why she was doing that, and she said that if I would promise not to tell any one she would tell me, and I said I would be sure not to tell any one, and she said that early to-morrow morning when father was out hunting, she would set the kettle full of water, throw thee into it and boil thee; but we will get up quickly, dress ourselves, and go away together.'",fundevogel bird foundling_segment_3.txt," Fundevogel said, 'If thou wilt never leave me, I too will never leave thee' The forester got up and went out hunting, and when he was gone the children were still in bed ."
"

	'Looking-glass, Looking-glass, on the wall, Who in this land is the fairest of all?'

	and the glass answered â

	'Oh, Queen, thou art fairest of all I see, But over the hills, where the seven dwarfs dwell, Snow-white is still alive and well,",little snow white_segment_15.txt," 'Oh, Queen, thou art fairest of all I see, But over the hills, where the seven dwarfs dwell, Snow-white is still alive and well,'"
"

	Then Clever Elsie began to weep, and said, 'If I get Hans, and we have a child, and he grows big, and we send him into the cellar here to draw beer, then the pick-axe will fall on his head and kill him.' Then she sat and wept and screamed with all the strength of her body, over the misfortune which lay before her. Those upstairs waited for the drink, but Clever Elsie still did not come. Then the woman said to the servant, 'Just go down into the cellar and see where Elsie is.' The maid went and found her sitting in front of the barrel, screaming loudly. 'Elsie, why weepest thou?' asked the maid. 'Ah,' she answered, 'have I not reason to weep? If I get Hans, and we have a child, and he grows big, and has to draw beer here, the pick-axe will perhaps fall on his head, and kill him.' Then said the maid, 'What a clever Elsie we have!' and sat down beside her and began loudly to weep over the misfortune. After a while, as the maid did not come back, those upstairs were thirsty for the beer, the man said to the boy, 'Just go down into the cellar and see where Elsie and the girl are.' The boy went down, and there sat Clever Elsie and the girl both weeping together. Then he asked, 'Why are ye weeping?' 'Ah,' said Elsie, 'have I not reason to weep? If I get Hans, and we have a child, and he grows big, and has to draw beer here, the pick-axe will fall on his head and kill him.' Then said the boy, 'What a clever Elsie we have!' and sat down by her, and likewise began to howl loudly. Upstairs they waited for the boy, but as he still did not return, the man said to the woman, 'Just go down into the cellar and see where Elsie is!' The woman went down, and found all three in the midst of their lamentations, and inquired what was the cause; then Elsie told her also that her future child was to be killed by the pick-axe, when it grew big and had to draw beer, and the pick-axe fell down. Then said the mother likewise, 'What a clever Elsie we have!' and sat down and wept with them. The man upstairs waited a short time, but as his wife did not come back and his thirst grew ever greater, he said, 'I must go into the cellar myself and see where Elsie is.' But when he got into the cellar, and they were all sitting together crying, and he heard the reason, and that Elsie's child was the cause, and that Elsie might perhaps bring one into the world some day, and that it might be killed by the pick-axe, if it should happen to be sitting beneath it, drawing beer just at the very time when it fell down, he cried, 'Oh, what a clever Elsie!' and sat down, and likewise wept with them. The bridegroom stayed upstairs alone for a long time; then as no one would come back he thought, 'They must be waiting for me below; I too must go there and see what they are about.' When he got down, five of them were sitting screaming and lamenting quite piteously, each out-doing the other. 'What misfortune has happened then?' he asked. 'Ah, dear Hans,' said Elsie, 'if we marry each other and have a child, and he is big, and we perhaps send him here to draw something to drink, then the pick-axe which has been left up there might dash his brains out if it were to fall down, so have we not reason to weep?' 'Come,' said Hans, 'more understanding than that is not needed for my household, as thou art such a clever Elsie, I will have thee,' and he seized her hand, took her upstairs with him, and married her.",clever elsie_segment_1.txt," Clever Elsie began to weep, and said, 'If I get Hans, and we have a child, and he grows big, and . we send him into the cellar here to draw beer, then the pick-axe will fall"
"

	She ran as long as her feet would go until it was almost evening; then she saw a little cottage and went into it to rest herself. Everything in the cottage was small, but neater and cleaner than can be told. There was a table on which was a white cover, and seven little plates, and on each plate a little spoon; moreover, there were seven little knives and forks, and seven little mugs. Against the wall stood seven little beds side by side, and covered with snow-white counterpanes.",little snow white_segment_8.txt," She ran as long as her feet would go until it was almost evening; then she saw a little cottage . Everything in the cottage was small, but neater and cleaner than can't be told ."
"

	Again the King considered how to get rid of his unpleasant guests, and caused their chief to be brought and said, 'If thou wilt take gold and renounce my daughter, thou shalt have as much as thou wilt.'

	'Oh, yes, Lord King,' he answered, 'give me as much as my servant can carry, and I will not ask for your daughter.'",how six men got on in the world_segment_3.txt," The King considered how to get rid of his unpleasant guests, and caused their chief to be brought and said, 'If thou wilt take gold and renounce my daughter, thou shalt have as much as thou wil'"
"

	A short time afterwards, as the door was still heavy, Catherine said, 'Ah, Frederick, I must pour out the vinegar.' 'No, Catherine, you must not, it might betray us.' 'Ah, but, Frederick, I must, it weighs me down far too much.' 'Then do it and be hanged!' So she emptied out the vinegar, and it besprinkled the robbers. They said amongst themselves, 'The dew is already falling.' At length Catherine thought, 'Can it really be the door which weighs me down so?' and said, 'Frederick, I must throw the door down.' 'No, not now, Catherine, it might discover us.' 'Oh, but, Frederick, I must. It weighs me down far too much.' 'Oh, no, Catherine, do hold it fast.' 'Ah, Frederick, I am letting it fall!' 'Let it go, then, in the devil's name.' Then it fell down with a violent clatter, and the rascals below cried, 'The devil is coming down the tree!' and they ran away and left everything behind them. Early next morning, when the two came down they found all their gold again, and carried it home.",frederick and catherine_segment_3.txt," Catherine emptied out the vinegar, and it besprinkled the robbers . They said amongst themselves, 'The dew is already falling' Catherine thought, 'Can it really be the door which weighs me down so?' and said,"
"

	it answered at last â

	'Oh, Queen, in this land thou art fairest of all.'

	Then her envious heart had rest, so far as an envious heart can have rest.

	The dwarfs, when they came home in the evening, found Snow-white lying upon the ground; she breathed no longer and was dead. They lifted her up, looked to see whether they could find anything poisonous, unlaced her, combed her hair, washed her with water and wine, but it was all of no use; the poor child was dead, and remained dead. They laid her upon a bier, and all seven of them sat round it and wept for her, and wept three days long.",little snow white_segment_28.txt," The dwarfs, when they came home in the evening, found Snow-white lying upon the ground . They lifted her up, looked to see whether they could find anything poisonous, unlaced her, combed her hair, washed her"
"

	The two children had also not been able to sleep for hunger, and had heard what their step-mother had said to their father. Gretel wept bitter tears, and said to Hansel, 'Now all is over with us.' 'Be quiet, Gretel,' said Hansel, 'do not distress thyself, I will soon find a way to help us.' And when the old folks had fallen asleep, he got up, put on his little coat, opened the door below, and crept outside. The moon shone brightly, and the white pebbles which lay in front of the house glittered like real silver pennies. Hansel stooped and put as many of them in the little pocket of his coat as he could possibly get in. Then he went back and said to Gretel, 'Be comforted, dear little sister, and sleep in peace, God will not forsake us,' and he lay down again in his bed. When day dawned, but before the sun had risen, the woman came and awoke the two children, saying 'Get up, you sluggards! we are going into the forest to fetch wood.' She gave each a little piece of bread, and said, 'There is something for your dinner, but do not eat it up before then, for you will get nothing else.' Gretel took the bread under her apron, as Hansel had the stones in his pocket. Then they all set out together on the way to the forest. When they had walked a short time, Hansel stood still and peeped back at the house, and did so again and again. His father said, 'Hansel, what art thou looking at there and staying behind for? Mind what thou art about, and do not forget how to use thy legs.' 'Ah, father,' said Hansel, 'I am looking at my little white cat, which is sitting up on the roof, and wants to say good-bye to me.' The wife said, 'Fool, that is not thy little cat, that is the morning sun which is shining on the chimneys.' Hansel, however, had not been looking back at the cat, but had been constantly throwing one of the white pebble-stones out of his pocket on the road.",hansel and gretel_segment_1.txt," Hansel sneaked out of his bed and crept out of the house to look at the white pebble-stones in his pocket . He said to Gretel: 'Be quiet, Gretel, I will soon find a way"
"

	The forester climbed up, brought the child down, and thought to himself, 'Thou wilt take him home with thee, and bring him up with thy Lina.' He took it home, therefore, and the two children grew up together. The one, however, which he had found on a tree was called Fundevogel, because a bird had carried it away. Fundevogel and Lina loved each other so dearly that when they did not see each other they were sad.",fundevogel bird foundling_segment_1.txt," Forester climbed up, brought the child down, and thought to himself, 'Thou wilt take him home with thee, and bring him up with thy Lina' He took it home, therefore, and the two children grew"
"

	But round about the castle there began to grow a hedge of thorns, which every year became higher, and at last grew close up round the castle and all over it, so that there was nothing of it to be seen, not even the flag upon the roof. But the story of the beautiful sleeping 'Briar-rose,' for so the princess was named, went about the country, so that from time to time kings' sons came and tried to get through the thorny hedge into the castle.",briar rose_segment_9.txt," The story of the beautiful sleeping 'Briar-rose' went about the country, so that from time to time kings' sons came and tried to get through the thorny hedge into the castle ."
"

	Hans went into the stable, cut out all the calves' and sheep's eyes, and threw them in Grethel's face. Then Grethel became angry, tore herself loose and ran away, and became the bride of Hans.

	7.1                ",clever hans_segment_9.txt," Hans cut out all the calves' and sheep's eyes, and threw them in Grethel's face . Grethel became angry, tore herself loose and ran away, and became the bride of Hans ."
"

	And envy and pride grew higher and higher in her heart like a weed, so that she had no peace day or night. She called a huntsman, and said, 'Take the child away into the forest; I will no longer have her in my sight. Kill her, and bring me back her heart as a token.' The huntsman obeyed, and took her away; but when he had drawn his knife, and was about to pierce Snow-white's innocent heart, she began to weep, and said, 'Ah dear huntsman, leave me my life! I will run away into the wild forest, and never come home again.'",little snow white_segment_6.txt," She called a huntsman, and said, 'Take the child away into the forest; I will no longer have her in my sight' The huntsman obeyed, and took her away; but when he had drawn his knife,"
"

	'Thou art fairer than all who are here, Lady Queen.' But more beautiful still is Snow-white, as I ween.'

	Then the Queen was shocked, and turned yellow and green with envy. From that hour, whenever she looked at Snow-white, her heart heaved in her breast, she hated the girl so much.",little snow white_segment_5.txt," The Queen was shocked, and turned yellow and green with envy . From that hour, whenever she looked at Snow-white, her heart heaved in her breast ."
"Once upon a time there was a man who did nothing but gamble, and for that reason people never called him anything but Gambling Hansel, and as he never ceased to gamble, he played away his house and all that he had. Now the very day before his creditors were to take his house from him, came the Lord and St. Peter, and asked him to give them shelter for the night. Then Gambling Hansel said, 'For my part, you may stay the night, but I cannot give you a bed or anything to eat.' So the Lord said he was just to take them in, and they themselves would buy something to eat, to which Gambling Hansel made no objection. Thereupon St. Peter gave him three groschen, and said he was to go to the baker's and fetch some bread. So Gambling Hansel went, but when he reached the house where the other gambling vagabonds were gathered together, they, although they had won all that he had, greeted him clamorously, and said, 'Hansel, do come in.' 'Oh,' said he, 'do you want to win the three groschen too?' On this they would not let him go. So he went in, and played away the three groschen also. Meanwhile St. Peter and the Lord were waiting, and as he was so long in coming, they set out to meet him. When Gambling Hansel came, however, he pretended that the money had fallen into the gutter, and kept raking about in it all the while to find it, but our Lord already knew that he had lost it in play. St. Peter again gave him three groschen, and now he did not allow himself to be led away once more, but fetched them the loaf. Our Lord then inquired if he had no wine, and he said, 'Alack, sir, the casks are all empty!' But the Lord said he was to go down into the cellar, for the best wine was still there. For a long time he would not believe this, but at length he said, 'Well, I will go down, but I know that there is none there.' When he turned the tap, however, lo and behold, the best of wine ran out! So he took it to them, and the two passed the night there. Early next day our Lord told Gambling Hansel that he might beg three favours. The Lord expected that he would ask to go to Heaven; but Gambling Hansel asked for a pack of cards with which he could win everything, for dice with which he would win everything, and for a tree whereon every kind of fruit would grow, and from which no one who had climbed up, could descend until he bade him do so. The Lord gave him all that he had asked, and departed with St. Peter.",gambling hansel_segment_0.txt," Once upon a time there was a man who did nothing but gamble, and as he never ceased to gamble, he played away his house and all that he had . The day before his creditors were to take his house from him, came"
"

	What the frog had said came true, and the Queen had a little girl who was so pretty that the King could not contain himself for joy, and ordered a great feast. He invited not only his kindred, friends and acquaintance, but also the Wise Women, in order that they might be kind and well-disposed towards the child. There were thirteen of them in his kingdom, but, as he had only twelve golden plates for them to eat out of, one of them had to be left at home.",briar rose_segment_1.txt," The Queen had a little girl who was so pretty that the King could not contain himself for joy . He invited all his kindred, friends and acquaintance, but also the Wise Women ."
"

	Now, there was once a maiden who was called Jorinda, who was fairer than all other girls. She and a handsome youth named Joringel had promised to marry each other. They were still in the days of betrothal, and their greatest happiness was being together. One day in order that they might be able to talk together in quiet they went for a walk in the forest. 'Take care,' said Joringel, 'that you do not go too near the castle.'",jorinda and joringel_segment_1.txt," Jorinda and Joringel had promised to marry each other . They were still in the days of betrothal, and their greatest happiness was being together . One day in order that they might be able to talk together in quiet"
"

	But the wicked step-mother was a witch, and had seen how the two children had gone away, and had crept after them privily, as witches do creep, and had bewitched all the brooks in the forest.",little brother and little sister_segment_3.txt," The wicked step-mother was a witch, and had seen how the two children had gone away . She crept after them privily, as witches do creep . She had bewitched all the brooks in the forest ."
"

	And now the best food was cooked for poor Hansel, but Gretel got nothing but crab-shells. Every morning the woman crept to the little stable, and cried, 'Hansel, stretch out thy finger that I may feel if thou wilt soon be fat.' Hansel, however, stretched out a little bone to her, and the old woman, who had dim eyes, could not see it, and thought it was Hansel's finger, and was astonished that there was no way of fattening him. When four weeks had gone by, and Hansel still continued thin, she was seized with impatience and would not wait any longer. 'Hola, Gretel,' she cried to the girl, 'be active, and bring some water. Let Hansel be fat or lean, to-morrow I will kill him, and cook him.' Ah, how the poor little sister did lament when she had to fetch the water, and how her tears did flow down over her cheeks! 'Dear God, do help us,' she cried. 'If the wild beasts in the forest had but devoured us, we should at any rate have died together.' 'Just keep thy noise to thyself,' said the old woman, 'all that won't help thee at all.'",hansel and gretel_segment_13.txt," Every morning the woman crept to the stable, and cried, 'Hansel, stretch out thy finger that I may feel if thou wilt soon be fat' Hansel, however, stretched out a little bone to her, and the"
"

	The King took the lovely maiden upon his horse and carried her to his palace, where the wedding was held with great pomp. She was now the Queen, and they lived for a long time happily together; the roebuck was tended and cherished, and ran about in the palace-garden.

	But the wicked step-mother, because of whom the children had gone out into the world, thought all the time that the sister had been torn to pieces by the wild beasts in the wood, and that the brother had been shot for a roebuck by the huntsmen. Now when she heard that they were so happy, and so well off, envy and hatred rose in her heart and left her no peace, and she thought of nothing but how she could bring them again to misfortune. Her own daughter, who was ugly as night, and had only one eye, grumbled at her and said, 'A Queen! that ought to have been my luck.' 'Only be quiet,' answered the old woman, and comforted her by saying, 'when the time comes I shall be ready.'",little brother and little sister_segment_17.txt," The wicked step-mother, because of whom the children had gone out into the world, thought all the time that the sister had been torn to pieces by the wild beasts in the wood, and that the brother had been shot for a"
"

	'Thou, O Queen, art the fairest of all!'

	Then she was satisfied, for she knew that the looking-glass spoke the truth.",little snow white_segment_3.txt," 'Thou, O Queen, art the fairest of all!' She was satisfied, for she knew that the looking-glass spoke the truth ."
"

	When she saw Joringel she was angry, very angry, and scolded and spat poison and gall at him, but she could not come within two paces of him. He did not take any notice of her, but went and looked at the cages with the birds; but there were many hundred nightingales, how was he to find his Jorinda again?",jorinda and joringel_segment_11.txt," When she saw Joringel she was angry, very angry, and scolded and spat poison and gall at him, but she could not come within two paces of him . He did not take any notice of her, but went"
"

	They were all shocked; but the twelfth, whose good wish still remained unspoken, came forward, and as she could not undo the evil sentence, but only soften it, she said, 'It shall not be death, but a deep sleep of a hundred years, into which the princess shall fall.'",briar rose_segment_4.txt," The twelfth, whose good wish still remained unspoken, came forward, and said, 'It shall not be death, but a deep sleep of a hundred years, into which the princess shall fall'"
"

	The two children therefore got up, dressed themselves quickly, and went away. When the water in the kettle was boiling, the cook went into the bed-room to fetch Fundevogel and throw him into it. But when she came in, and went to the beds, both the children were gone. Then she was terribly alarmed, and she said to herself, 'What shall I say now when the forester comes home and sees that the children are gone? They must be followed instantly to get them back again.'",fundevogel bird foundling_segment_4.txt," The children got up, dressed themselves quickly, and went away . When the water in the kettle was boiling, the cook went into the bed-room to fetch Fundevogel and throw him into it . But when she came in"
"

	Hans takes the calf, puts it on his head, and the calf kicks his face. 'Good evening, mother.' 'Good evening, Hans. Where hast thou been?' 'With Grethel.' 'What didst thou take her?' 'I took nothing, but had something given me.' 'What did Grethel give thee?' 'A calf.' 'Where hast thou the calf, Hans?' 'I set it on my head and it kicked my face.' 'That was ill done, Hans, thou shouldst have led the calf, and put it in the stall.' 'Never mind, will do better next time.'

	'Whither away, Hans?' 'To Grethel, mother.' 'Behave well, Hans.' 'I'll behave well. Good-bye, mother.' 'Good-bye, Hans.'",clever hans_segment_7.txt," Hans takes the calf, puts it on his head, and the calf kicks his face . 'I set it on my head and it kicked my face,' says Hans . 'Never mind, will do better next time,' he says ."
"

	'If others have tried it,' said Brother Lustig, 'I will try it too.'

	'Leave it alone,' said the host, 'it will cost you your neck.' 'It won't kill me at once,' said Brother Lustig, 'just give me the key, and some good food and wine.' So the host gave him the key, and food and wine, and with this Brother Lustig went into the castle, enjoyed his supper, and at length, as he was sleepy, he lay down on the ground, for there was no bed. He soon fell asleep, but during the night was disturbed by a great noise, and when he awoke, he saw nine ugly devils in the room, who had made a circle, and were dancing around him. Brother Lustig said, 'Well, dance as long as you like, but none of you must come too close.' But the devils pressed continually nearer to him, and almost stepped on his face with their hideous feet. 'Stop, you devils' ghosts,' said he, but they behaved still worse. Then Brother Lustig grew angry, and cried, 'Hola! but I will soon make it quiet,' and got the leg of a chair and struck out into the midst of them with it. But nine devils against one soldier were still too many, and when he struck those in front of him, the others seized him behind by the hair, and tore it unmercifully. 'Devils' crew,' cried he, 'it is getting too bad, but wait. Into my knapsack, all nine of you!' In an instant they were in it, and then he buckled it up and threw it into a corner. After this all was suddenly quiet, and Brother Lustig lay down again, and slept till it was bright day. Then came the inn-keeper, and the nobleman to whom the castle belonged, to see how he had fared; but when they perceived that he was merry and well they were astonished, and asked, 'Have the spirits done you no harm, then?' 'The reason why they have not,' answered Brother Lustig, 'is because I have got the whole nine of them in my knapsack! You may once more inhabit your castle quite tranquilly, none of them will ever haunt it again.' The nobleman thanked him, made him rich presents, and begged him to remain in his service, and he would provide for him as long as he lived. 'No,' replied Brother Lustig, 'I am used to wandering about, I will travel farther.' Then he went away, and entered into a smithy, laid the knapsack, which contained the nine devils on the anvil, and asked the smith and his apprentices to strike it. So they smote with their great hammers with all their strength, and the devils uttered howls which were quite pitiable. When he opened the knapsack after this, eight of them were dead, but one which had been lying in a fold of it, was still alive, slipped out, and went back again to hell. Thereupon Brother Lustig travelled a long time about the world, and those who know them can tell many a story about him, but at last he grew old, and thought of his end, so he went to a hermit who was known to be a pious man, and said to him, 'I am tired of wandering about, and want now to behave in such a manner that I shall enter into the kingdom of Heaven.' The hermit replied, 'There are two roads, one is broad and pleasant, and leads to hell, the other is narrow and rough, and leads to heaven.' 'I should be a fool,' thought Brother Lustig, 'if I were to take the narrow, rough road.' So he set out and took the broad and pleasant road, and at length came to a great black door, which was the door of Hell. Brother Lustig knocked, and the door-keeper peeped out to see who was there. But when he saw Brother Lustig, he was terrified, for he was the very same ninth devil who had been shut up in the knapsack, and had escaped from it with a black eye. So he pushed the bolt in again as quickly as he could, ran to the devil's lieutenant, and said, 'There is a fellow outside with a knapsack, who wants to come in, but as you value your lives don't allow him to enter, or he will wish the whole of hell into his knapsack. He once gave me a frightful hammering when I was inside it.' So they called out to Brother Lustig that he was to go away again, for he should not get in there! 'If they won't have me here,' thought he, 'I will see if I can find a place for myself in heaven, for I must be somewhere.' So he turned about and went onwards until he came to the door of Heaven, where he knocked. St. Peter was sitting hard by as door-keeper. Brother Lustig recognised him at once, and thought, 'Here I find an old friend, I shall get on better.' But St. Peter said, 'I really believe that thou wantest to come into Heaven.' 'Let me in, brother; I must get in somewhere; if they would have taken me into Hell, I should not have come here.' 'No,' said St. Peter, 'thou shalt not enter.' 'Then if thou wilt not let me in, take thy knapsack back, for I will have nothing at all from thee.' 'Give it here, then,' said St. Peter. Then Brother Lustig gave him the knapsack into Heaven through the bars, and St. Peter took it, and hung it beside his seat. Then said Brother Lustig, 'And now I wish myself inside my knapsack,' and in a second he was in it, and in Heaven, and St. Peter was forced to let him stay there.",brother lustig_segment_8.txt," Brother Lustig travelled a long time about the world, but at last he grew old, and thought of his end . He went to a hermit who said to him, 'There are two roads, one is broad and pleasant,"
"

	Brother Lustig travelled about with his money, and squandered and wasted what he had as before. When at last he had no more than four kreuzers, he passed by an inn and thought, 'The money must go,' and ordered three kreuzers' worth of wine and one kreuzer's worth of bread for himself. As he was sitting there drinking, the smell of roast goose made its way to his nose. Brother Lustig looked about and peeped, and saw that the host had two geese standing in the oven. Then he remembered that his comrade had said that whatsoever he wished to have in his knapsack should be there, so he said, 'Oh, ho! I must try that with the geese.' So he went out, and when he was outside the door, he said, 'I wish those two roasted geese out of the oven and in my knapsack,' and when he had said that, he unbuckled it and looked in, and there they were inside it. 'Ah, that's right!' said he, 'now I am a made man!' and went away to a meadow and took out the roast meat. When he was in the midst of his meal, two journeymen came up and looked at the second goose, which was not yet touched, with hungry eyes. Brother Lustig thought to himself, 'One is enough for me,' and called the two men up and said, 'Take the goose, and eat it to my health.' They thanked him, and went with it to the inn, ordered themselves a half bottle of wine and a loaf, took out the goose which had been given them, and began to eat. The hostess saw them and said to her husband, 'Those two are eating a goose; just look and see if it is not one of ours, out of the oven.' The landlord ran thither, and behold the oven was empty! 'What!' cried he, 'you thievish crew, you want to eat goose as cheap as that? Pay for it this moment; or I will wash you well with green hazel-sap.' The two said, 'We are no thieves, a discharged soldier gave us the goose, outside there in the meadow.' 'You shall not throw dust in my eyes that way! the soldier was here but he went out by the door, like an honest fellow. I looked after him myself; you are the thieves and shall pay!' But as they could not pay, he took a stick, and cudgeled them out of the house.",brother lustig_segment_6.txt," Brother Lustig travelled about with his money, and squandered and wasted what he had as before . When at last he had no more than four kreuzers, he passed by an inn and thought, 'The money must"
"

	Brother Lustig went his way and came to a place where there was a magnificent castle, and not far from it a wretched inn. He went to the inn and asked for a night's lodging, but the landlord turned him away, and said, 'There is no more room here, the house is full of noble guests.' 'It surprises me that they should come to you and not go to that splendid castle,' said Brother Lustig. 'Ah, indeed,' replied the host, 'but it is no slight matter to sleep there for a night; no one who has tried it so far, has ever come out of it alive.'",brother lustig_segment_7.txt," Brother Lustig went to the inn and asked for a night's lodging, but the landlord turned him away . The landlord said, 'There is no more room here, the house is full of noble guests'"
"

	She ran home and told him of the misfortune. 'Who would seat herself at a corner of the market-place with crockery?' said the man; 'leave off crying, I see very well that you cannot do any ordinary work, so I have been to our King's palace and have asked whether they cannot find a place for a kitchen-maid, and they have promised me to take you; in that way you will get your food for nothing.'",king thrushbeard_segment_14.txt, She sat in a corner of the market-place with crockery . She ran home and told him of the misfortune . He promised her food for nothing .
"

	Just then he saw the old woman quietly take away a cage with a bird in it, and go towards the door.

	Swiftly he sprang towards her, touched the cage with the flower, and also the old woman. She could now no longer bewitch any one; and Jorinda was standing there, clasping him round the neck, and she was as beautiful as ever!

	5.3                ",jorinda and joringel_segment_12.txt," She could now no longer bewitch any one; and Jorinda was standing there, clasping him round the neck, and she was as beautiful as ever!"
"

	8.4                ",gods food_segment_1.txt," The 8th anniversary of this article will be published on November 8th, 2015. It is the first anniversary of its publication of this year's publication of the 9th anniversary ."
"

	Gretel, however, ran like lightning to Hansel, opened his little stable, and cried, 'Hansel, we are saved! The old witch is dead!' Then Hansel sprang out like a bird from its cage when the door is opened for it. How they did rejoice and embrace each other, and dance about and kiss each other! And as they had no longer any need to fear her, they went into the witch's house, and in every corner there stood chests full of pearls and jewels. 'These are far better than pebbles!' said Hansel, and thrust into his pockets whatever could be got in, and Gretel said, 'I, too, will take something home with me,' and filled her pinafore full. 'But now we will go away.' said Hansel, 'that we may get out of the witch's forest.'",hansel and gretel_segment_15.txt," Gretel ran to Hansel, opened his stable, and cried, 'Hansel, we are saved! The old witch is dead!' Then Hansel sprang out like a bird from its cage when the door is opened for it ."
"

	When therefore they came to shore, all happened as had been foretold by the ravens, and a magnificent chestnut horse sprang forward. 'Good,' said the King, 'he shall carry me to my palace,' and was about to mount it when Faithful John got before him, jumped quickly on it, drew the pistol out of the holster, and shot the horse. Then the other attendants of the King, who after all were not very fond of Faithful John, cried, 'How shameful to kill the beautiful animal, that was to have carried the King to his palace.' But the King said, 'Hold your peace and leave him alone, he is my most faithful John, who knows what may be the good of that!' They went into the palace, and in the hall there stood a dish, and therein lay the bridal garment looking no otherwise than as if it were made of gold and silver. The young King went towards it and was about to take hold of it, but Faithful John pushed him away, seized it with gloves on, carried it quickly to the fire and burnt it. The other attendants again began to murmur, and said, 'Behold, now he is even burning the King's bridal garment!' But the young King said, 'Who knows what good he may have done, leave him alone, he is my most faithful John.'",faithful john_segment_11.txt," The King was about to mount a magnificent chestnut horse to carry him to his palace . Faithful John got before him, jumped quickly on it, drew the pistol out of the holster, and shot the horse . The other attendants of"
"

	And when she asked of the Looking-glass at homeâ-

	'Looking-glass, Looking-glass, on the wall, Who in this land is the fairest of all?'",little snow white_segment_27.txt," When she asked of the Looking-glass at homeâ- she asked: 'Who in this land is the fairest of all?' 'Looking-glass, Looking-Glass, on the wall, on"
"

	Then she told the King the evil deed which the wicked witch and her daughter had been guilty of towards her. The King ordered both to be led before the judge, and judgment was delivered against them. The daughter was taken into the forest where she was torn to pieces by wild beasts, but the witch was cast into the fire and miserably burnt. And as soon as she was burnt the roebuck changed his shape, and received his human form again, so the sister and brother lived happily together all their lives.

	8                ",little brother and little sister_segment_27.txt, The wicked witch and her daughter had been guilty of an evil deed towards her . The daughter was taken into the forest where she was torn to pieces by wild beasts . But the witch was cast into the fire and burnt . As soon as
